,keywords,labels,X0,X1
0,Metabolites,0,1.5385436956142466,1.9539098770684873
1,antioxidant,1,1.7357942899287602,1.5310763430839671
2,biomarker,0,1.3448750375564544,1.8693642332979676
3,chromosomal,0,1.495632708489719,2.029907655715284
4,enzyme,3,1.8558429510150383,2.040290561505478
5,gene,3,1.7157107288813778,1.9639341137843944
6,genome,1,1.7841397286635843,1.568107006180091
7,lipid,1,1.5973479926842211,1.6339773786717333
8,metabolism,1,1.5784479052234293,1.5015198465755961
9,metabolite,0,1.4460546624597912,1.9766571411646556
10,molecular,0,1.5337650998049766,1.9566200152408197
11,nucleotide,3,1.6675512930417824,2.0565104266767262
12,peptide,0,1.460921262991064,2.14757631325669
13,plasmid,2,1.0793823227824408,1.6345161161712625
14,polymorphism,0,1.454267668782356,2.2341381441833836
15,protein,3,1.6113465739848551,1.8368123896082897
